0.00200000  1.802618e-04  5.626935e+01
0.00400000  2.808767e-04  5.554552e+01
0.00600000  3.467612e-04  5.504763e+01
0.00800000  4.029018e-04  5.467986e+01
0.01000000  4.583826e-04  5.440578e+01
0.01200000  5.140405e-04  5.419546e+01
0.01400000  5.697647e-04  5.403183e+01
0.01600000  6.253226e-04  5.390701e+01
0.01800000  6.806529e-04  5.381134e+01
0.02000000  7.358028e-04  5.373818e+01
0.02200000  7.903210e-04  5.367759e+01
0.02400000  8.438100e-04  5.362879e+01
0.02600000  8.961365e-04  5.358800e+01
0.02800000  9.471378e-04  5.355583e+01
0.03000000  9.967166e-04  5.353050e+01
0.03200000  1.044824e-03  5.351460e+01
0.03400000  1.091584e-03  5.350896e+01
0.03600000  1.137083e-03  5.351189e+01
0.03800000  1.181224e-03  5.352425e+01
0.04000000  1.223897e-03  5.354693e+01
0.04200000  1.265174e-03  5.358160e+01
0.04400000  1.305313e-03  5.362307e+01
0.04600000  1.344297e-03  5.366837e+01
0.04800000  1.382271e-03  5.371420e+01
0.05000000  1.419031e-03  5.376117e+01
0.05200000  1.454602e-03  5.380791e+01
0.05400000  1.488952e-03  5.385561e+01
0.05600000  1.522092e-03  5.390344e+01
0.05800000  1.553989e-03  5.395129e+01
0.06000000  1.584465e-03  5.400183e+01
0.06200000  1.613392e-03  5.405733e+01
0.06400000  1.640906e-03  5.411760e+01
0.06600000  1.666944e-03  5.418103e+01
0.06800000  1.691496e-03  5.425263e+01
0.07000000  1.714782e-03  5.433191e+01
0.07200000  1.736932e-03  5.441574e+01
0.07400000  1.757979e-03  5.450317e+01
0.07600000  1.777985e-03  5.459206e+01
0.07800000  1.796881e-03  5.467817e+01
0.08000000  1.814571e-03  5.476141e+01
0.08200000  1.831095e-03  5.484022e+01
0.08400000  1.846489e-03  5.491940e+01
0.08600000  1.860777e-03  5.499554e+01
0.08800000  1.873960e-03  5.506996e+01
0.09000000  1.885973e-03  5.514243e+01
0.09200000  1.896870e-03  5.521568e+01
0.09400000  1.907034e-03  5.528919e+01
0.09600000  1.916531e-03  5.536616e+01
0.09800000  1.925440e-03  5.544706e+01
0.10000000  1.933898e-03  5.553089e+01
0.10200000  1.941712e-03  5.561753e+01
0.10400000  1.948938e-03  5.570673e+01
0.10600000  1.955512e-03  5.579655e+01
0.10800000  1.961429e-03  5.588504e+01
0.11000000  1.966590e-03  5.597090e+01
0.11200000  1.970913e-03  5.605444e+01
0.11400000  1.974390e-03  5.613490e+01
0.11600000  1.977009e-03  5.621219e+01
0.11800000  1.978953e-03  5.628523e+01
0.12000000  1.980470e-03  5.635271e+01
0.12200000  1.981753e-03  5.641577e+01
0.12400000  1.983393e-03  5.647603e+01
0.12600000  1.985437e-03  5.653628e+01
0.12800000  1.988014e-03  5.659698e+01
0.13000000  1.991112e-03  5.665899e+01
0.13200000  1.994644e-03  5.672283e+01
0.13400000  1.998367e-03  5.678880e+01
0.13600000  2.001937e-03  5.685475e+01
0.13800000  2.005060e-03  5.692137e+01
0.14000000  2.007506e-03  5.698519e+01
0.14200000  2.009550e-03  5.704530e+01
0.14400000  2.011505e-03  5.710189e+01
0.14600000  2.014131e-03  5.715760e+01
0.14800000  2.017934e-03  5.721410e+01
0.15000000  2.023532e-03  5.727181e+01
0.15200000  2.031218e-03  5.733087e+01
0.15400000  2.040887e-03  5.739040e+01
0.15600000  2.052017e-03  5.745068e+01
0.15800000  2.063868e-03  5.751157e+01
0.16000000  2.075743e-03  5.757309e+01
0.16200000  2.086882e-03  5.763310e+01
0.16400000  2.096922e-03  5.769207e+01
0.16600000  2.105742e-03  5.775087e+01
0.16800000  2.113453e-03  5.780879e+01
0.17000000  2.120220e-03  5.786629e+01
0.17200000  2.126494e-03  5.792448e+01
0.17400000  2.132496e-03  5.798257e+01
0.17600000  2.138294e-03  5.804220e+01
0.17800000  2.143988e-03  5.810434e+01
0.18000000  2.149401e-03  5.816797e+01
0.18200000  2.154428e-03  5.823371e+01
0.18400000  2.158836e-03  5.830170e+01
0.18600000  2.162361e-03  5.837141e+01
0.18800000  2.164745e-03  5.844293e+01
0.19000000  2.165748e-03  5.851393e+01
0.19200000  2.165439e-03  5.858407e+01
0.19400000  2.164280e-03  5.865316e+01
0.19600000  2.162541e-03  5.872013e+01
0.19800000  2.160591e-03  5.878584e+01
0.20000000  2.158674e-03  5.885002e+01
0.20200000  2.157060e-03  5.891471e+01
0.20400000  2.155790e-03  5.897974e+01
0.20600000  2.154724e-03  5.904546e+01
0.20800000  2.153770e-03  5.911092e+01
0.21000000  2.152896e-03  5.917766e+01
0.21200000  2.151902e-03  5.924493e+01
0.21400000  2.150758e-03  5.931262e+01
0.21600000  2.149630e-03  5.938034e+01
0.21800000  2.148678e-03  5.944815e+01
0.22000000  2.148153e-03  5.951704e+01
0.22200000  2.148175e-03  5.958817e+01
0.22400000  2.148778e-03  5.966068e+01
0.22600000  2.149854e-03  5.973294e+01
0.22800000  2.151245e-03  5.980620e+01
0.23000000  2.152771e-03  5.987997e+01
0.23200000  2.154100e-03  5.995434e+01
0.23400000  2.155037e-03  6.002990e+01
0.23600000  2.155360e-03  6.010441e+01
0.23800000  2.155239e-03  6.017866e+01
0.24000000  2.155105e-03  6.025314e+01
0.24200000  2.155357e-03  6.032769e+01
0.24400000  2.156309e-03  6.040251e+01
0.24600000  2.158147e-03  6.047848e+01
0.24800000  2.161010e-03  6.055601e+01
0.25000000  2.164792e-03  6.063540e+01
0.25200000  2.169180e-03  6.071684e+01
0.25400000  2.173981e-03  6.079814e+01
